Dataset,Feature,# of data points,# non-constant descriptors,Fisher Separability ID
CHEMBL202,embed,873,16,2.43980622117132
CHEMBL202,mfp_r2_1024,873,989,8.142222275466606
CHEMBL202,maccs_keys,873,148,5.985840921710112
CHEMBL203,embed,5303,16,2.814256599173006
CHEMBL203,mfp_r2_1024,5303,1024,9.167522008906776
CHEMBL203,maccs_keys,5303,154,7.556989778952076
CHEMBL204,embed,4020,16,2.773786462765936
CHEMBL204,mfp_r2_1024,4020,1024,8.583815824045748
CHEMBL204,maccs_keys,4020,152,6.988192471232824
CHEMBL205,embed,4823,16,2.534902866569826
CHEMBL205,mfp_r2_1024,4823,1024,9.963382754984504
CHEMBL205,maccs_keys,4823,154,6.70306241312926
CHEMBL206,embed,2265,16,2.7007741838924786
CHEMBL206,mfp_r2_1024,2265,1023,8.520220721473654
CHEMBL206,maccs_keys,2265,153,6.576240668726698
CHEMBL208,embed,1348,16,1.7600671632992024
CHEMBL208,mfp_r2_1024,1348,1019,6.820370012143244
CHEMBL208,maccs_keys,1348,142,5.907129542460043
CHEMBL209,embed,953,16,2.604448054587426
CHEMBL209,mfp_r2_1024,953,1013,7.847402916844011
CHEMBL209,maccs_keys,953,147,5.619423663223618
CHEMBL210,embed,1298,16,2.6164173872261176
CHEMBL210,mfp_r2_1024,1298,1017,8.227447154279202
CHEMBL210,maccs_keys,1298,148,6.020345719035396
CHEMBL211,embed,1289,16,1.8239634331271437
CHEMBL211,mfp_r2_1024,1289,1019,8.070559767536801
CHEMBL211,maccs_keys,1289,148,6.208713461781185
CHEMBL213,embed,833,16,2.611322188679236
CHEMBL213,mfp_r2_1024,833,971,7.933480947135659
CHEMBL213,maccs_keys,833,147,5.415338003732463
CHEMBL214,embed,3128,16,2.798773986758738
CHEMBL214,mfp_r2_1024,3128,1024,9.444215247739718
CHEMBL214,maccs_keys,3128,146,6.927713212257264
CHEMBL215,embed,1349,16,3.563534547389796
CHEMBL215,mfp_r2_1024,1349,1020,7.98046195307145
CHEMBL215,maccs_keys,1349,143,6.077218107606534
CHEMBL216,embed,1444,16,2.7028843854889595
CHEMBL216,mfp_r2_1024,1444,1021,8.20419121293861
CHEMBL216,maccs_keys,1444,152,6.2834175292031285
CHEMBL217,embed,5074,16,2.747157609001296
CHEMBL217,mfp_r2_1024,5074,1024,9.4656235604718
CHEMBL217,maccs_keys,5074,150,7.228252499284095
CHEMBL218,embed,3642,16,2.65732707894147
CHEMBL218,mfp_r2_1024,3642,1024,8.759270923670265
CHEMBL218,maccs_keys,3642,145,6.820305925401619
CHEMBL219,embed,1644,16,3.431675132492926
CHEMBL219,mfp_r2_1024,1644,1014,8.604887758020183
CHEMBL219,maccs_keys,1644,146,7.062775591521983
CHEMBL220,embed,3347,16,2.7493017907881283
CHEMBL220,mfp_r2_1024,3347,1024,8.686689189297232
CHEMBL220,maccs_keys,3347,154,7.267114825954175
CHEMBL221,embed,1256,16,2.4123279846463817
CHEMBL221,mfp_r2_1024,1256,1016,8.139726670005734
CHEMBL221,maccs_keys,1256,146,6.047840824328607
CHEMBL222,embed,2081,16,2.7639045853619915
CHEMBL222,mfp_r2_1024,2081,1021,8.938961515693695
CHEMBL222,maccs_keys,2081,147,7.0264694184340994
CHEMBL223,embed,675,16,2.728998820125089
CHEMBL223,mfp_r2_1024,675,988,7.410120826823914
CHEMBL223,maccs_keys,675,139,5.087734344479706
CHEMBL224,embed,3412,16,2.7643062149418647
CHEMBL224,mfp_r2_1024,3412,1024,8.900692255489403
CHEMBL224,maccs_keys,3412,145,6.81420709727452
CHEMBL225,embed,2487,16,2.8029919122730926
CHEMBL225,mfp_r2_1024,2487,1024,9.05873146948626
CHEMBL225,maccs_keys,2487,144,6.644541463353359
CHEMBL226,embed,3473,16,3.530970746385736
CHEMBL226,mfp_r2_1024,3473,1023,8.150547333226978
CHEMBL226,maccs_keys,3473,152,7.2182633234630815
CHEMBL227,embed,878,16,2.654288638182295
CHEMBL227,mfp_r2_1024,878,1018,5.639679046695893
CHEMBL227,maccs_keys,878,149,4.959692629460885
CHEMBL228,embed,2931,16,2.802489844427936
CHEMBL228,mfp_r2_1024,2931,1024,9.146928854266548
CHEMBL228,maccs_keys,2931,149,7.187881927015313
CHEMBL229,embed,1157,16,2.761274325791501
CHEMBL229,mfp_r2_1024,1157,1013,7.325775742349392
CHEMBL229,maccs_keys,1157,144,5.71646216127415
CHEMBL230,embed,2498,16,3.0467994953506192
CHEMBL230,mfp_r2_1024,2498,1024,8.454071115622273
CHEMBL230,maccs_keys,2498,151,6.586263560623565
CHEMBL231,embed,1086,16,2.75231672956208
CHEMBL231,mfp_r2_1024,1086,1018,8.239405285267978
CHEMBL231,maccs_keys,1086,145,6.025140496940625
CHEMBL232,embed,805,16,2.770800571818321
CHEMBL232,mfp_r2_1024,805,992,7.328117587406997
CHEMBL232,maccs_keys,805,140,5.069094802160069
CHEMBL233,embed,3658,16,1.8717142090703651
CHEMBL233,mfp_r2_1024,3658,1024,7.784925825795036
CHEMBL233,maccs_keys,3658,152,7.031501076439525
CHEMBL234,embed,3490,16,2.683352410838304
CHEMBL234,mfp_r2_1024,3490,1024,9.057893611914457
CHEMBL234,maccs_keys,3490,151,7.241828333418
CHEMBL235,embed,2449,16,3.3315297077625363
CHEMBL235,mfp_r2_1024,2449,1023,8.275121953531588
CHEMBL235,maccs_keys,2449,150,6.429341370142285
CHEMBL236,embed,2936,16,1.8444549732680908
CHEMBL236,mfp_r2_1024,2936,1021,6.782833015483299
CHEMBL236,maccs_keys,2936,148,7.043206099317491
CHEMBL237,embed,3237,16,1.8588431694096792
CHEMBL237,mfp_r2_1024,3237,1024,7.865738625994801
CHEMBL237,maccs_keys,3237,154,6.6169605949826025
CHEMBL238,embed,1673,16,2.833964012726901
CHEMBL238,mfp_r2_1024,1673,1019,8.5767716829547
CHEMBL238,maccs_keys,1673,147,6.827088812585727
CHEMBL239,embed,1757,16,3.5024475503640864
CHEMBL239,mfp_r2_1024,1757,1017,8.46610572990076
CHEMBL239,maccs_keys,1757,148,6.21975907053703
CHEMBL240,embed,6610,16,2.8444553925246154
CHEMBL240,mfp_r2_1024,6610,1024,9.521679437781437
CHEMBL240,maccs_keys,6610,153,8.441516954132764
CHEMBL242,embed,1532,16,2.5744089310714675
CHEMBL242,mfp_r2_1024,1532,1021,8.586156906924451
CHEMBL242,maccs_keys,1532,148,6.029901272590889
CHEMBL243,embed,2869,16,2.5726269765384675
CHEMBL243,mfp_r2_1024,2869,1022,7.876111355395685
CHEMBL243,maccs_keys,2869,149,6.380311108408393
CHEMBL244,embed,4422,16,2.825794925776373
CHEMBL244,mfp_r2_1024,4422,1024,8.601938839848469
CHEMBL244,maccs_keys,4422,150,6.592240679580603
CHEMBL245,embed,1246,16,1.8356019152611496
CHEMBL245,mfp_r2_1024,1246,1017,7.577389451344841
CHEMBL245,maccs_keys,1246,149,6.271197806307266
CHEMBL246,embed,1076,16,2.561057044983637
CHEMBL246,mfp_r2_1024,1076,988,8.248995706334792
CHEMBL246,maccs_keys,1076,148,5.507380701607175
CHEMBL247,embed,3826,16,2.7766500174474245
CHEMBL247,mfp_r2_1024,3826,1024,8.197503785724615
CHEMBL247,maccs_keys,3826,153,6.683924505752269
CHEMBL248,embed,1490,16,2.750812870934573
CHEMBL248,mfp_r2_1024,1490,1022,7.028349144910757
CHEMBL248,maccs_keys,1490,152,5.701620592418527
CHEMBL249,embed,1718,16,1.9047161569312323
CHEMBL249,mfp_r2_1024,1718,1023,7.229120036069911
CHEMBL249,maccs_keys,1718,146,6.816848706156178
CHEMBL250,embed,281,16,2.4560048812308963
CHEMBL250,mfp_r2_1024,281,875,6.189728575563158
CHEMBL250,maccs_keys,281,142,3.9335974037463486
CHEMBL251,embed,3650,16,3.5915626691633777
CHEMBL251,mfp_r2_1024,3650,1024,8.499391791779917
CHEMBL251,maccs_keys,3650,153,7.4279726312482195
CHEMBL252,embed,1078,16,2.5659441988828493
CHEMBL252,mfp_r2_1024,1078,998,6.039499931931863
CHEMBL252,maccs_keys,1078,142,3.97341480959148
CHEMBL253,embed,5106,16,2.741350094438643
CHEMBL253,mfp_r2_1024,5106,1024,9.140334113476948
CHEMBL253,maccs_keys,5106,148,7.052869423065393
CHEMBL255,embed,1646,16,3.35675725743081
CHEMBL255,mfp_r2_1024,1646,1011,7.569701677130091
CHEMBL255,maccs_keys,1646,144,6.088701260972351
CHEMBL256,embed,3132,16,3.471945510493982
CHEMBL256,mfp_r2_1024,3132,1024,8.094072004665637
CHEMBL256,maccs_keys,3132,154,6.7379775406576
CHEMBL257,embed,452,16,2.467484717971386
CHEMBL257,mfp_r2_1024,452,838,6.547690299268479
CHEMBL257,maccs_keys,452,133,3.4824875201187595
CHEMBL258,embed,1632,16,2.7846858808758963
CHEMBL258,mfp_r2_1024,1632,1021,8.35289563897556
CHEMBL258,maccs_keys,1632,148,7.023632140520607
CHEMBL259,embed,1756,16,1.844013966173237
CHEMBL259,mfp_r2_1024,1756,1022,5.79930298559609
CHEMBL259,maccs_keys,1756,146,5.805079685654447
