Dataset,F50,Min_physchem,1st Qu._physchem,Median_physchem,Mean_physchem,3rd Qu._physchem,Max_physchem,SD_physchem,Min_mfp_r2_1024,1st Qu._mfp_r2_1024,Median_mfp_r2_1024,Mean_mfp_r2_1024,3rd Qu._mfp_r2_1024,Max_mfp_r2_1024,SD_mfp_r2_1024,Min_maccs_keys,1st Qu._maccs_keys,Median_maccs_keys,Mean_maccs_keys,3rd Qu._maccs_keys,Max_maccs_keys,SD_maccs_keys
chembl_random_500_seed1526,0.4844074844074844,2.094391699599944,4031.267048147932,12907.637013111223,37120.60699843794,36617.95577031006,1255857.9535512084,77195.4046010204,0.0,0.2411886379122734,0.33984375,0.3411046,0.4423963129520416,0.83870965,0.14532256,0.0,0.296875,0.38157895,0.3838664,0.4677419364452362,0.9032258,0.121415325
chembl_random_9269_seed175,0.4239457831325301,7.888609052210118e-31,4106.129695297292,13148.906117912256,43272.77637604495,37440.74479115477,2177968.408833648,105817.78872398514,0.0,0.2338129431009292,0.3417191,0.33987868,0.447761207818985,0.9939516,0.1486606,0.0,0.3000000119209289,0.38271606,0.3843895,0.4673913121223449,0.98717946,0.120805755
chembl_random_1500_seed8176,0.4638205499276411,0.1271225684000036,4396.179065777631,14268.260298061645,48656.07210935392,41688.445373112816,2030306.233416492,120114.16077566292,0.0,0.2380952388048172,0.34756097,0.34237736,0.4502617716789245,0.95295537,0.14757936,0.0,0.2988505661487579,0.38271606,0.38336074,0.4666666686534881,0.95652175,0.12148367
chembl_random_500_seed7955,0.490721649484536,2.8931860100004165,3611.28088488891,11465.592308206797,40354.35373735316,32804.870855389265,1972047.0157886883,118907.0818872589,0.0,0.2513192594051361,0.35636362,0.34999385,0.4558404684066772,0.8141026,0.14533545,0.0,0.3066666722297668,0.3882353,0.3902336,0.4722222089767456,0.92941177,0.11957129
chembl_random_9269_seed251,0.4298670642315815,7.888609052210118e-31,4171.129801905007,13450.562225864907,46495.09942422685,38418.0277821513,2094356.3626884215,118178.9865707398,0.0,0.2307692319154739,0.34217507,0.33825803,0.447524756193161,0.98444974,0.14944497,0.0,0.3000000119209289,0.38235295,0.3842197,0.4666666686534881,0.9876543,0.120157726
chembl_random_1500_seed1309,0.4658519051042415,2.1311636835999344,4260.838434937599,13608.007271829982,46984.184052983954,38148.58539248008,1830122.690720689,120889.51940157832,0.0,0.2310030460357666,0.34020618,0.33684558,0.4446382150053978,0.9512987,0.14843929,0.0,0.2957746386528015,0.3802817,0.37964532,0.4626865684986114,0.9607843,0.12130411
chembl_random_9269_seed3665,0.4246369554331497,4.930380657631324e-32,4198.38722764011,13488.908528393227,46111.41125712445,38179.4041145659,2572412.179597642,122709.83088920648,0.0,0.2365145236253738,0.3452381,0.3419541,0.449504941701889,0.98872954,0.14780797,0.0,0.3000000119209289,0.38356164,0.38444254,0.4675324559211731,0.98876405,0.1212654
chembl_random_500_seed493,0.474468085106383,3.403801289999895,4142.112597940006,12819.354192055203,35150.881631246506,34771.14394380015,846558.4973352391,71384.124379587,0.0,0.2410071939229965,0.3505747,0.34742758,0.456620991230011,0.87573963,0.15007228,0.0,0.2972972989082336,0.3783784,0.38247943,0.4651162922382355,0.9285714,0.12168306
chembl_random_1500_seed5968,0.4693732193732193,0.8074920000000055,4377.104299690011,14352.67343115242,43716.7918485105,40806.60906977614,2142689.3113450008,105611.34721078316,0.0,0.2402088791131973,0.35042736,0.34606048,0.4542586803436279,0.8832,0.14748865,0.0,0.2972972989082336,0.37974682,0.38164896,0.4634146392345428,0.9756098,0.11899056
CHEMBL236,0.1187594553706505,4.930380657631324e-32,3834.6557196356944,13226.944411289203,82690.53506403636,46180.90828909766,1712335.293785762,198306.52139028552,0.0017482517,0.3106960952281952,0.41621622,0.4136718,0.5098684430122375,0.9943246,0.14078817,0.054054055,0.4428571462631225,0.515625,0.5163098,0.5882353186607361,0.987013,0.1137708
CHEMBL330,0.0888888888888888,1.972152263052529e-31,2666.4718831108057,7541.401638625018,14135.321044827988,18255.502477142527,227197.51435664017,18470.950741220164,0.0,0.3040293157100677,0.40874463,0.40468392,0.5123674869537354,0.96666664,0.16428593,0.048780486,0.4081632792949676,0.49056605,0.48718733,0.5692307949066162,0.9836066,0.13962643
