Dataset,F50,Min_physchem,1st Qu._physchem,Median_physchem,Mean_physchem,3rd Qu._physchem,Max_physchem,SD_physchem,Min_mfp_r2_1024,1st Qu._mfp_r2_1024,Median_mfp_r2_1024,Mean_mfp_r2_1024,3rd Qu._mfp_r2_1024,Max_mfp_r2_1024,SD_mfp_r2_1024,Min_maccs_keys,1st Qu._maccs_keys,Median_maccs_keys,Mean_maccs_keys,3rd Qu._maccs_keys,Max_maccs_keys,SD_maccs_keys
CHEMBL236,0.11875945537065052,4.930380657631324e-32,3834.6557196356944,13226.944411289203,82690.53506403636,46180.90828909766,1712335.293785762,198306.52139028552,0.0017482517,0.3106960952281952,0.41621622,0.4136718,0.5098684430122375,0.9943246,0.14078817,0.054054055,0.44285714626312256,0.515625,0.5163098,0.5882353186607361,0.987013,0.1137708
CHEMBL330,0.08888888888888889,1.9721522630525295e-31,2666.4718831108057,7541.401638625018,14135.321044827988,18255.502477142527,227197.51435664017,18470.950741220164,0.0,0.30402931571006775,0.40874463,0.40468392,0.5123674869537354,0.96666664,0.16428593,0.048780486,0.40816327929496765,0.49056605,0.48718733,0.5692307949066162,0.9836066,0.13962643
CHEMBL3155,0.17557251908396945,4.930380657631324e-32,2150.0183659899994,7119.381975700017,14321.406857925862,19296.855991560064,209887.20281876015,18385.4520285375,0.0,0.3991769552230835,0.50865054,0.494243,0.593406617641449,0.99236643,0.14161977,0.0,0.39534884691238403,0.475,0.48878902,0.574999988079071,0.9875,0.13964994
CHEMBL2828,0.2150170648464164,7.888609052210118e-31,2292.879935080004,7162.565413425018,14638.630802284397,18554.60380661362,347612.32758204953,21814.273175918766,0.07682119,0.41059601306915283,0.49557522,0.4915865,0.5684210658073425,0.97928995,0.12266361,0.11320755,0.3636363744735718,0.42857143,0.43640772,0.5,0.9848485,0.10660212
CHEMBL5113,0.17408506429277942,4.930380657631324e-32,945.4059988604025,2525.901029192001,5916.624034948844,6347.840999460803,336586.07158280397,9958.291840866883,0.020151133,0.4175824224948883,0.48089173,0.48957124,0.5528255701065063,0.9895105,0.10749345,0.09195402,0.4430379867553711,0.5294118,0.5320431,0.6164383292198181,0.9875,0.12827212
CHEMBL2014,0.08913649025069638,7.888609052210118e-31,1954.0814138700102,6236.3312522650085,68434.04946428195,17434.243364295864,2037376.0357068104,242206.78608319443,0.0063861758,0.3306451737880707,0.4568528,0.4500186,0.564393937587738,0.9954421,0.1724122,0.112676054,0.4266666769981384,0.5,0.5074009,0.5783132314682007,0.98550725,0.12152953
CHEMBL313,0.09911054637865312,4.930380657631324e-32,2073.2420931508045,7065.172012970008,15014.017696375335,19644.995386380044,719893.0947786099,24573.047152451305,0.043010753,0.34246575832366943,0.43362832,0.43678463,0.5218659043312073,0.9923858,0.12787955,0.037037037,0.34328359365463257,0.43333334,0.4339107,0.5192307829856873,0.9848485,0.1340051
CHEMBL1785,0.10454545454545454,7.888609052210118e-31,2451.8874182347527,8518.755031620822,20389.36562043629,24343.246959567445,826069.1062140813,38176.0620100194,0.043015726,0.3897550106048584,0.52100843,0.50594324,0.6080306172370911,0.9914966,0.15746006,0.064935066,0.3563218414783478,0.46067417,0.48379594,0.5952380895614624,0.9883721,0.17416485
CHEMBL301,0.12385919165580182,4.930380657631324e-32,2340.985795160405,6888.20808526242,14246.291440325816,17608.02245417762,558559.4703965519,22269.77173736042,0.03153153,0.3849765360355377,0.45627376,0.45447505,0.5281385183334351,0.9874477,0.114771634,0.035714287,0.3571428656578064,0.41975307,0.43052194,0.49275362491607666,0.9879518,0.10651614
CHEMBL4641,0.16417910447761194,7.888609052210118e-31,1429.6425741335815,4259.310133433803,9617.08512029181,11496.313363842495,235521.7311526902,14887.630091237896,0.11683417,0.4166666567325592,0.49411765,0.5004043,0.5714285969734192,0.9958848,0.12821865,0.06849315,0.44155845046043396,0.51042116,0.51602864,0.5810810923576355,0.9848485,0.1184032
