Network,Density,Degree Centrality Std Dev,Assortativity Coefficient,Network Entropy,Threshold,desc_type
CHEMBL236,0.27632073676246,0.1627557294300591,0.27035257368283677,7.0725054486540335,0.5,mfp_r2_1024
CHEMBL236,0.08856444582669928,0.06845333613982678,0.3395713690188302,6.32622783013814,0.6,mfp_r2_1024
CHEMBL236,0.02211679950238826,0.01929949733219721,0.4781905823395724,5.092431644889448,0.7,mfp_r2_1024
CHEMBL236,0.005958575679226102,0.00613445066393939,0.6976299826440495,3.843371666348032,0.8,mfp_r2_1024
CHEMBL236,0.0011595467648273909,0.0016004526007945457,0.7268494291727294,2.3141105274044707,0.9,mfp_r2_1024
CHEMBL236,0.5724029726731313,0.21636831981056587,0.023681527239073442,7.164869967560486,0.5,maccs_keys
CHEMBL236,0.22048006535796016,0.13564431912129823,0.22379571057426936,6.972412129077866,0.6,maccs_keys
CHEMBL236,0.05302698336807022,0.049049055164397205,0.5593247831668254,5.877608095003453,0.7,maccs_keys
CHEMBL236,0.011082073444150973,0.012936691753088063,0.6474823077302682,4.421822570400752,0.8,maccs_keys
CHEMBL236,0.001508849783455338,0.0018975756725436322,0.6245058288233298,2.573086359995279,0.9,maccs_keys
CHEMBL330,0.2799008034554073,0.1496761482448311,0.2703014342631285,5.14590927238627,0.5,mfp_r2_1024
CHEMBL330,0.10002013214004649,0.07321165846542269,0.39103975775924343,4.552697518599849,0.6,mfp_r2_1024
CHEMBL330,0.03590841706473398,0.03125369758027904,0.7493303696579834,3.696580707877636,0.7,mfp_r2_1024
CHEMBL330,0.013552590640385073,0.014699986018611203,0.7326140984551228,2.838729830146306,0.8,mfp_r2_1024
CHEMBL330,0.0018667984406742436,0.003904882092284532,0.8129264177243047,1.1792916222676897,0.9,mfp_r2_1024
CHEMBL330,0.4758597338897125,0.20680596523719366,0.06681077340957339,5.271320333375515,0.5,maccs_keys
CHEMBL330,0.18471238492651768,0.09576912876166042,0.17531365218797598,4.86758672410571,0.6,maccs_keys
CHEMBL330,0.06076245904939695,0.03914868495377233,0.4258100856721368,4.093074129673947,0.7,maccs_keys
CHEMBL330,0.020132140046486943,0.015361329950331267,0.5123896500647637,3.1775628875062742,0.8,maccs_keys
CHEMBL330,0.0049049213931440915,0.005427367799960446,0.633316662057549,1.9950459457174785,0.9,maccs_keys
CHEMBL3155,0.5260196412123038,0.2613938441480985,0.09717171243392499,6.280126378509065,0.5,mfp_r2_1024
